property,ProteinMPNN-020,AlkSecMPNN-020,AcidSecMPNN-020
sequence_length,6.832366560325692,6.525765073129445,7.512861763520841
mw_per_residue,2.4858302406217563,5.685886933548848,6.91049839862902
isoelectric_point,1.3856201945615325,2.556396318456313,0.5287581338817962
acidic_residue_fraction,10.720934977865458,19.549049008908277,2.9943529476324118
basic_residue_fraction,1.556943736500141,0.7454523909485223,1.4760389951298083
gravy,8.18552028071495,5.3685271013940365,12.25232142473076
aromaticity,0.48178853569874286,2.614378031994793,1.5640124838497458
instability_index,6.527034646944636,6.641657113468858,6.122262112157537
proline_fraction,12.567375308801637,2.924808752369714,11.639701935484092
ordered_percent,6.14020290463767,5.834785220883258,5.168997252422331
helix_sheet_contrast,0.5150039842399434,0.4280941727720736,0.6979972287780195
rco,16.62724596993606,16.812141288173603,15.594433668249055
avg_cb_distance,25.558551370310095,23.67505279958024,26.82074572246108
surface_exposure,0.41558128884169077,0.6380057943720274,0.7170179330734956
