model,n_structures,n_proteins,mean_scTM,median_scTM,mean_scRMSD,mean_pLDDT
ProteinMPNN_v020(base),200,25,0.5361085012050474,0.5532422283334847,4.023902505420751,61.780990799861044
AlkSecMPNN_020,200,25,0.5127718863175148,0.4558651831764233,4.151566638424438,61.03433784958069
AcidSecMPNN_020,200,25,0.4480610696217399,0.45145448986423437,4.439743741182287,55.67017322575608
WT_singleseq(control),25,25,0.3836538655217155,0.3540037335861334,4.861464055492257,48.08833568513946
